ssdl:pid,ssdl:notation
1879-Carmin-EMU,Round
1884-Beauty-EMU,Round
1884-Gemsof-EMU,Nil
1884-Jesus2-EMU,Round
1886-Newli2-EMU,Round
1887-Battle-EMU,Round
1887-Dainty-EMU,Round
1887-Gladev-EMU,Seven-shape Aikin
1887-Glorya-EMU,Numeral staff
1887-Harves-EMU,Seven-shape Aikin
1887-Loving-EMU,Round
192x-Worsh1-EMU,Round
1890-Pearls-EMU,Seven-shape Aikin
1890-Anthem-EMU,Round
1892-Gospel-EMU,Seven-shape Aikin
1892-Songla-EMU,Round
1893-Hymnst-EMU,Nil
1894-Sunshi-EMU,Round
1895-Caroli-EMU,Round;Seven-shape Aikin
1895-Celest-EMU,Round
1896-Bellso-EMU,Seven-shape Aikin
1896-Bestst-EMU,Round
1896-Crowni-EMU,Round
1896-Fillmo-EMU,Round
1896-Sacred-EMU,Round
1896-Sunlig-EMU,Round;Seven-shape Aikin
1896-Uplift-EMU,Round
1897-Corona-EMU,Round
1897-Fillmo-EMU,Round
1897-Gospe1-EMU,Round
1897-Gospe2-EMU,Round
1897-Reviva-EMU,Round
1897-Songla-EMU,Round
1897-Songso-EMU,Round
1899-Gospe1-EMU,Round
1899-Gospe2-EMU,Round
1899-Hymnal-EMU,Round
1900-Childr-EMU,Round
1900-Nation-EMU,Round;Seven-shape Hood
1900-Newhar-EMU,Round
1900-Ourtha-EMU,Round
1900-Palace-EMU,Round
1900-Salvat-EMU,Round
1900-Songss-EMU,Round
1900-Vaugha-EMU,Seven-shape Aikin
1901-Aggres-EMU,Round
1901-Eureka-EMU,Round
1901-Fillm1-EMU,Round
1901-Fillm2-EMU,Round
1901-Hackle-EMU,Round
1901-Kirche-EMU,
1901-Manlyp-EMU,Round
1901-Newpsa-EMU,Nil
1901-Youngp-EMU,Round
1902-Crowno-EMU,Round;Seven-shape Aikin
1902-Eleven-EMU,Round
1902-Joyful-EMU,Round
1902-Living-EMU,Round
1902-Onwing-EMU,Round
1904-Gemsno-EMU,Round
1904-Perfec-EMU,Round
1904-Temper-EMU,Round
1905-Hymnso-EMU,Round
1905-Lobede-EMU,Round
1905-Reviva-EMU,Round
1905-Songsf-EMU,Round
1905-Youngp-EMU,Round
1906-Golden-EMU,Seven-shape Aikin
1906-Gospel-EMU,Round
1906-Hymna1-EMU,Nil
1906-Hymna2-EMU,Round
1906-Jesuss-EMU,Seven-shape Aikin
1906-Lastin-EMU,Seven-shape Aikin
1906-Sevent-EMU,Seven-shape Aikin
1907-Bestof-EMU,
1907-Gospel-EMU,Round
1907-Himnar-EMU,
1907-Hymnso-EMU,Round
1907-Specia-EMU,Seven-shape Aikin
1907-Standa-EMU,Round
1907-Sunday-EMU,Round
1908-Chris1-EMU,Round
1908-Victor-EMU,Round
1909-Precio-EMU,Round
1915-Worldw-EMU,Round
1925-SaintH-EMU,Round
1925-Songs2-EMU,Round;Seven-shape Aikin
1927-Spirit-EMU,Seven-shape Aikin
1850-Sacred-EMU,Round
1851-Songso-EMU,Nil
1854-Outlin-EMU,Nil
1859-Psalms-EMU,Nil
1868-Baptis-EMU,Nil
1889-Easte2-EMU,Round
1892-Zionsm-EMU,Seven-shape Aikin
1894-Choice-EMU,Seven-shape Aikin
1900-Manual-EMU,Nil
1901-Electr-EMU,Round
1901-Popula-EMU,Round
1901-Standa-EMU,Round
1902-Crowni-EMU,Seven-shape Aikin
1902-Fillmo-EMU,Round
1902-Tearsa-EMU,Round
1903-Bellso-EMU,Round
1903-Echoes-EMU,Round
1903-Nation-EMU,Round
1903-Reviva-EMU,Round
1904-Baptis-EMU,Round
1904-Glorio-EMU,Round
1905-Fillmo-EMU,Round
1905-Gloria-EMU,Round
1905-Method-EMU,Round
1905-Salvat-EMU,
1907-Truthi-EMU,Round
1908-Alexa1-EMU,Round
1908-Alexa2-EMU,Round
1908-Chris2-EMU,Round
1908-Crowni-EMU,Round
1908-Friend-EMU,Nil
1908-Fullof-EMU,Round
1908-Hymnsa-EMU,Nil
1908-Joyand-EMU,Round
1908-Oliver-EMU,Round
1908-Sbirka-EMU,
1908-Songso-EMU,
1912-Songso-EMU,Round;Seven-shape Aikin
1908-Songse-EMU,Round
1909-Christ-EMU,
1909-Method-EMU,Round
1909-Newhym-EMU,Round
1909-Servic-EMU,Round
1909-Tillma-EMU,Seven-shape Aikin
