ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1885-Popula-EMU,Round,"Covington, KY",http://vocab.getty.edu/page/tgn/7014762,1885,Popular Hymns Revised
1885-Revise-EMU,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1885,Revised Hymns
1885-Zionso-EMU,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1885,The Zion Songster No. 1
1886-Carols-EMU,Round,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1886,Carols of Grace
1886-Childr-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1886,The Children's Hallelujah
1890-Gospel-EMU,Round;Numeral staff,"Barnesville, GA",http://vocab.getty.edu/page/tgn/2022106,1890,Gospel Voices
1886-Greata-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1886,The Great Awakening
1886-Joyand-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1886,Joy and Praise for Sunday-Schools
1886-Newli1-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1886,New Life
1886-Stream-EMU,Round,"Columbia, TN",http://vocab.getty.edu/page/tgn/2098585,1886,Streams of Mercy
1887-Songs1-EMU,Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1887,Songs of Glory No. 2
1887-Songs2-EMU,Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1887,Songs of Gratitude
1888-Gesang-EMU,Nil,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1888,Gesangbuch der Bischöflichen Methodisten-Kirche
1888-Hymnst-EMU,Seven-shape Aikin,"Dalton, GA",http://vocab.getty.edu/page/tgn/2022620,1888,"Hymns, Tunes and Gospel Songs"
1888-Ournew-EMU,Seven-shape Aikin,"Bowman, GA",http://vocab.getty.edu/page/tgn/2022228,1888,Our New Book
1888-Royalp-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1888,Royal Praise for the Sunday School
1888-Sabbat-EMU,Round,"Savannah, GA",http://vocab.getty.edu/page/tgn/7014487,1888,The Sabbath Hour
1888-Songso-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1888,Songs of Rejoicing
1892-Standa-EMU,Round,"Cincinnati, OH; Louisville, KY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013915,1888,The Standard Church Hymnal
1889-Budsan-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1889,Buds and Blossoms for the Little Ones
1889-Christ-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1889,Christian Hymns
1889-Cumber-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1889,The Cumberland Presbyterian Hymnal
1889-Easte1-EMU,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1889,Easter Selections for 1889
1889-Evange-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1889,Evangelical Lutheran Hymn Book
1889-Gospel-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1889,The Gospel Alarm.
1889-Hymnan-EMU,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1889,"Hymn and Tune Book of the Methodist Episcopal Church, South"
1889-Hymnsf-EMU,Nil,"Baltimore, MD?",http://vocab.getty.edu/page/tgn/7013352,1889?,"Hymns from ""Windows of Heaven"" Song Book"
