FILENAME ID,HEIGHT,WIDTH,FROM
1881-Gospel-UMI,21 cm,13 cm,
1882-Songsf-UMI,17 cm,24 cm,
1882-Songso-UMI,20 cm,14 cm,
1884-Goodti-UMI,15 cm,19 cm,
1887-Gospel-UMI,21 cm,13 cm,
1891-Epwort-UMI,21 cm ,16 cm,
1891-Otterb-UMI,,,
1894-Spirit-UMI,23 cm,16 cm,
1895-Gospel-UMI,35 cm ,27 cm,
1897-Songso-UMI,20 cm,14 cm,
1898-Chorus-UMI,21 cm,14 cm,UMI -1 - 1
1851-Christ-UMI,16 cm,25 cm,
1858-Harmon-UMI,15cm,24cm,
1858-Jubile-UMI,17 cm,25 cm,
1861-Soldie-UMI,12 cm,8 cm,
1871-Harmon-UMI,16 cm,25 cm,
1872-Brethr-UMI,20 cm,14 cm,
1872-Jubile-UMI,25cm,16cm,
1876-Gospel-UMI,21 cm,14 cm,
1878-Himnar-UMI,22 cm,16 cm,
1878-Keepin-UMI,35 cm,27 cm,
1880-Dontyo-UMI,35 cm,27 cm,
1880-Risemy-UMI,35 cm,27 cm,
1880-Waitmy-UMI,35 cm,27 cm,
1881-Gospel-UMI,21 cm,13 cm,
1882-Songso-UMI,20 cm,14 cm,
1884-Goodti-UMI,15 cm,19 cm,
1887-Gospel-UMI,21 cm,13 cm,
1891-Epwort-UMI,21 cm ,16 cm,
1894-Spirit-UMI,23 cm,16 cm,
1895-Gospel-UMI,35 cm ,27 cm,
1897-Songso-UMI,20 cm,14 cm,
1898-Chorus-UMI,21 cm,14 cm,UMI1-2
1860-Christ-UMI,12,8,
1885-Epwort-UMI,21,15,
