PID,ssdl:notation,location,Date,Long,Lati
1911-Newson-EMU,,"Austin, TX",1911,-96.3167,29.8833
1910-Psalms-EMU,,"St. Louis, MO",1910,-90.1833,38.6167
1911-Songso-EMU,,"Cincinnati, OH",1911,-84.45,39.15
1911-Spirit-EMU,,"Dayton, VA",1911,-78.9333,38.4
1911-Youngp-EMU,,"Evanston, IL",1911,-87.6833,42.0333
1912-Charmi-EMU,Seven-shape Aikin,"Eastman, GA",1912,-83.1667,32.1833
1912-Evange-EMU,Round,"St. Louis, MO",1912,-90.1833,38.6167
1912-Hearth-EMU,Round,"Baltimore, MD",1912,-76.6,39.2833
1912-Little-EMU,Round,"Nashville, TN;Dallas, TX;Richmond, VA",1912,-86.761;-96.8;-77.45,36.154;32.7833;37.55
1912-Newlyr-EMU,Seven-shape Aikin,"Dalton, GA;Dallas, TX",1912,-84.9667;-96.8,34.7667;32.7833
1912-Sacred-EMU,,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburgh, PA;Detroit, MI",1912,-84.45;-87.65;-94.5667;-122.4167;-74;-71.05;-79.9833;-83.0333,39.15;41.85;39.0833;37.7667;40.7;42.35;40.4333;42.3167
1912-Songs1-EMU,,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburgh, PA;Detroit, MI",1912,-84.45;-87.65;-94.5667;-122.4167;-74;-71.05;-79.9833;-83.0333,39.15;41.85;39.0833;37.7667;40.7;42.35;40.4333;42.3167
1912-Songs2-EMU,Round,"Independence, MO",1912,-94.4,39.0833
1912-Songs3-EMU,Round,"Cincinnati, OH;New York, NY",1912,-84.45;-74,39.15;40.7
1912-Songs4-EMU,Round,"Nashville, TN",1912,-86.761,36.154
1912-Sunday-EMU,Round,"Atlanta, GA;Kansas City, MO;Dallas, TX",1912,-84.3833;-94.5667;-96.8,33.7333;39.0833;32.7833
1913-Loyalt-EMU,Round,"Cincinnati, OH",1913,-84.45,39.15
1913-Ourcho-EMU,Round;Seven-shape Aikin,"Louisville, KY",1913,-85.75,38.25
1913-Planta-EMU,Round,"Philadelphia, PA;Chicago, IL",1913,-75.15;-87.65,39.95;41.85
1913-Sacred-EMU,Round,"Dayton, Virginia",1913,-78.9333,38.4
